 UPDATED LINE UP - MAY 17th 2021.,,,,,
VESSEL,POSITION,SHIFT,QTTY,COMMODITY,DESTINATION
SAITA II,ETA RECA 01/06,LOAD ,40000,MAIZE+SORHUM,BUNGE
MARY GOGIAS,ETA RECA 10/06,LOAD ,45000,MAIZE,BUNGE
,,,,,
GLENCORE X-STORAGE TERMINAL:,,,,,
NIL,,,,,
,,,,,
RAMALLO ROADS:,,,,,
NIL,,,,,
,,,,,
SAN PEDRO PORT,,,,,
ELEVATOR:,,,,,
AROMO,ETA S.PEDRO 21-22/05,LOAD,30000,WHEAT,TBC
,,,,,
PIER HEAD:,,,,,
NIL,,,,,
,,,,,
SAN PEDRO ROADS:,,,,,
NIL,,,,,
,,,,,
,,,,,
TERMINAL DEL GUAZU:  ,,,,,
MACAW ARROW,ETA 22/05/2021,DISCHARGE,"14,000",MINERAL BBGS,MANUCHAR/PSL
PROUD UNITY,ETA 26/05/2021,LOAD,"45,000",SOYBEANS,CHS
MV ZHENG ZAO,RECA 25/05/2021,LOAD,"45,000",SOYBEANS,CHS
,,,,,
KM 171 R.P.G.:,,,,,
NIL,,,,,
,,,,,
LIMA,,,,,
DELTA DOCK - BERTH 1: ,,,,,
NIL,,,,,
,,,,,
DELTA DOCK - BERTH 2:,,,,,
NIL,,,,,
,,,,,
LAS PALMAS,,,,,
TERMINAL LAS PALMAS:,,,,,
AFRIAN HALCYON ,ALONGSIDE,LOAD,"6,000",SORGHUM,GEAR
ORION,ETA 19/05/2021,LOAD,"4,000",CORN,BUNGE
,,,,,
ZARATE,,,,,
VITCO: ,,,,,
CHAMPION PULA ,ALONGSIDE,DISCH,22.000,UAN,ACRON
TARGALE ,ETA 17/05/2021,DISCH,"27,573",DIESEL,CHEVRON 
TIGER JOY,RECA 23/05/2021,DISCH,6000,CHEMICALS,DAK
,,,,,
TERMINAL ZARATE / VEHICLES:,,,,,
GRANDE GABON ,ALONGSIDE,LOAD/DISCH,,VEHICLES,VARIOUS
HERITAGE LEADER,ETA 29/05/2021,LOAD/DISCH,,VEHICLES,VARIOUS
SHANGHAI HIGHWAY,ETA 17/05/2021,LOAD/DISCH,,VEHICLES,VARIOUS
SALVIA ACE,ETA 21/05/2021,LOAD/DISCH,,VEHICLES,VARIOUS
TORRENS,ETA 24/05/2021,LOAD/DISCH,,VEHICLES,VARIOUS
GALAXY LEADER,ETA 24/05/2021,LOAD/DISCH,,VEHICLES,VARIOUS
,,,,,
,,,,,
TERMINAL ZARATE / GENERAL CARGO & CONTAINERS,,,,,
ARGENTINA C,ETA 19/05/2021,LOAD/DISCH,,CONTAINERS,VARIOUS
MAERSK BERMUDA,ETA 20/05/2021,LOAD/DISCH,,CONTAINERS,VARIOUS
ARGENTINA C,ETA 24/05/2021,LOAD/DISCH,,CONTAINERS,VARIOUS
VIRGINIA,ETA 25/05/2021,LOAD/DISCH,,CONTAINERS,VARIOUS
